id;bank_code;bank_name;bin;organization_id;class;type;reward;is_business
1;1;TÜRK ELEKTRONİK PARA A.S.;478592;VISA;YIKK;credit;;0
2;1;TÜRK ELEKTRONİK PARA A.S.;478593;VISA;YIKK;credit;;0
3;1;TÜRK ELEKTRONİK PARA A.S.;478594;VISA;YIKK;credit;;0
4;1;TÜRK ELEKTRONİK PARA A.S.;534060;MASTER;YIDK;debit;;0
5;1;TÜRK ELEKTRONİK PARA A.S.;535616;MASTER;YIDK;debit;;0
6;1;TÜRK ELEKTRONİK PARA A.S.;538841;MASTER;YIDK;debit;;0
7;1;TÜRK ELEKTRONİK PARA A.S.;578963;VISA;YIKK;debit;;0
8;1;TÜRK ELEKTRONİK PARA A.S.;650457;TROY;YITKK;credit;;0
9;1;TÜRK ELEKTRONİK PARA A.S.;979235;TROY;YITDK;debit;;0
10;1;TÜRK ELEKTRONİK PARA A.S.;979248;TROY;YIKK;credit;;0
11;1;TÜRK ELEKTRONİK PARA A.S.;979257;TROY;YITKK;credit;;0
12;2;PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE;460957;VISA;YIDK;debit;;0
13;2;PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE;531389;MASTER;YIDK;debit;;0
14;2;PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE;535925;MASTER;YIDK;debit;;0
15;2;PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE;539374;MASTER;YIDK;debit;;0
16;2;PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE;548793;MASTER;YIKK;credit;;0
17;3;POSTA VE TELGRAF TEŞKİLATI A.Ş.;434913;VISA;YIDK;debit;;0
18;3;POSTA VE TELGRAF TEŞKİLATI A.Ş.;434914;VISA;YIDK;debit;;0
19;3;POSTA VE TELGRAF TEŞKİLATI A.Ş.;456924;VISA;YIDK;debit;;0
20;3;POSTA VE TELGRAF TEŞKİLATI A.Ş.;456925;VISA;YIDK;debit;;0
21;3;POSTA VE TELGRAF TEŞKİLATI A.Ş.;533207;MASTER;YIDK;debit;;0
